_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
1277270,4154590,,2020,1954,PRIVATE,6,York Centre,25 ROSSEAU RD,3,11,2020-11-03,70,Evaluation needs to be conducted in 2 years,16,4,3,3,4,3,4,,4,,3,3,3,5,4,4,3,,3,3,,N0629,43.74342266,-79.43700806,309858.129,4844608.506
1277271,4243431,2017,2020,1968,PRIVATE,7,Humber River-Black Creek,2801 JANE ST,17,234,2020-11-03,66,Evaluation needs to be conducted in 2 years,18,3,3,3,3,3,4,3,3,4,,3,4,3,3,3,3,4,4,3,,W0730,43.75022539,-79.51517111,303562.808,4845362.501
1277272,4152898,2020,2020,1958,PRIVATE,4,Parkdale-High Park,93 COE HILL DR,4,33,2020-11-03,78,Evaluation needs to be conducted in 2 years,18,4,4,5,4,3,5,,3,5,4,4,4,4,3,4,3,4,4,3,,S0430,43.64144225,-79.47244495,307007.546,4833277.515
1277273,4154589,,2020,1954,PRIVATE,6,York Centre,23 ROSSEAU RD,3,11,2020-11-03,76,Evaluation needs to be conducted in 2 years,16,4,4,3,4,4,4,,4,,4,4,4,5,4,4,3,,3,3,,N0629,43.74326045,-79.43682505,309872.882,4844590.495
1277274,4242360,2017,2020,2016,PRIVATE,9,Davenport,1544 DUNDAS ST W,8,95,2020-11-03,97,Evaluation needs to be conducted in 3 years,19,5,5,5,4,,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,S0933,43.65001008,-79.43323187,310163.177,4834237.074
1277275,4152946,2017,2020,1997,SOCIAL HOUSING,4,Parkdale-High Park,2750 DUNDAS ST W,6,30,2020-11-03,72,Evaluation needs to be conducted in 2 years,19,3,4,5,3,4,4,2,4,4,4,3,4,2,2,4,4,,4,4,4,S0429,43.66534658,-79.46092314,307935.755,4835938.396
1277276,4155263,2017,2020,1958,PRIVATE,3,Etobicoke-Lakeshore,7 CROWN HILL PL,4,35,2020-11-03,79,Evaluation needs to be conducted in 2 years,17,3,4,5,4,3,3,,4,,3,4,4,5,4,4,4,5,4,4,,W0327,43.63862628,-79.49117613,305496.279,4832964.393
1277277,4154618,2017,2020,1970,PRIVATE,6,York Centre,715 FINCH AVE W,11,85,2020-11-03,81,Evaluation needs to be conducted in 2 years,19,5,4,5,4,4,4,2,5,5,3,4,4,5,4,4,4,4,4,3,,N0624,43.76920289,-79.46226532,307822.589,4847471.362
1277278,4153572,2017,2020,1980,TCHC,13,Toronto Centre,310 DUNDAS ST E,7,155,2020-11-03,71,Evaluation needs to be conducted in 2 years,18,4,4,4,3,3,4,3,3,3,,3,4,5,3,4,3,4,4,3,,S1329,43.6586471,-79.37069421,315213.842,4835196.523
1277279,4153581,2017,2020,1976,TCHC,13,Toronto Centre,330 GERRARD ST E,7,81,2020-11-03,71,Evaluation needs to be conducted in 2 years,19,3,4,4,4,4,4,3,3,3,,3,4,4,3,4,4,3,4,3,3,S1327,43.66260055,-79.36538703,315640.938,4835637.373
1277280,4154709,2017,2020,1961,PRIVATE,18,Willowdale,286 FINCH AVE W,4,47,2020-11-03,86,Evaluation needs to be conducted in 3 years,17,5,5,5,4,5,4,,3,4,,4,4,5,5,4,5,5,4,2,,N1822,43.77469903,-79.44009034,309595.944,4848123.374
1277281,4155962,2017,2020,1969,PRIVATE,6,York Centre,1085 STEELES AVE W,15,100,2020-11-03,77,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,4,4,3,4,,3,4,5,4,3,4,4,4,3,,N0622,43.79121403,-79.44875272,308924.363,4849959.367
1277282,4154497,2017,2020,1965,PRIVATE,8,Eglinton-Lawrence,1079 LAWRENCE AVE W,3,15,2020-11-03,89,Evaluation needs to be conducted in 3 years,16,3,4,5,3,4,4,,4,,5,5,5,5,5,5,4,,5,5,,N0826,43.71197434,-79.46276565,307785.025,4841113.531
1277283,4154498,2017,2020,1958,PRIVATE,8,Eglinton-Lawrence,1111 LAWRENCE AVE W,3,15,2020-11-03,81,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,,4,,4,4,4,5,3,4,4,4,4,5,,N0826,43.71185691,-79.46345121,307729.784,4841100.462
1277284,4155234,2017,2020,1947,PRIVATE,3,Etobicoke-Lakeshore,3 NEWHOLM RD,4,25,2020-11-03,74,Evaluation needs to be conducted in 2 years,17,4,3,3,4,4,4,,3,,3,4,3,5,3,4,4,5,4,3,,W0329,43.63607875,-79.48763014,305782.438,4832681.407
1277285,4155233,2017,2020,1955,PRIVATE,3,Etobicoke-Lakeshore,5 NEWHOLM RD,4,27,2020-11-03,67,Evaluation needs to be conducted in 2 years,17,3,3,5,2,3,3,,3,,4,4,2,5,3,4,4,2,4,3,,W0329,43.63564469,-79.48740666,305800.477,4832633.187
1277286,4155237,2017,2020,1958,PRIVATE,3,Etobicoke-Lakeshore,8 NEWHOLM RD,4,26,2020-11-03,79,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,3,,4,,3,4,4,5,3,4,4,5,4,4,,W0329,43.63548222,-79.48822241,305734.649,4832615.13
1277287,4155431,2017,2020,1962,PRIVATE,1,Etobicoke North,40 TORBOLTON DR,3,17,2020-11-03,79,Evaluation needs to be conducted in 2 years,16,4,4,5,5,4,3,,4,,,3,4,5,3,4,4,3,5,3,,W0130,43.71989314,-79.5585311,300068.36,4841994.413
1277288,4155531,2017,2020,1993,TCHC,3,Etobicoke-Lakeshore,250 TWELFTH ST,14,178,2020-11-02,80,Evaluation needs to be conducted in 2 years,19,4,4,5,3,4,4,4,2,4,,4,5,5,4,4,4,4,4,4,4,W0335,43.60066964,-79.51152204,303854.172,4828747.612
1277289,4155399,2017,2020,1960,PRIVATE,2,Etobicoke Centre,530 THE EAST MALL,7,110,2020-11-02,86,Evaluation needs to be conducted in 3 years,19,4,4,5,5,4,5,,3,4,4,4,4,5,4,5,5,4,5,4,4,W0232,43.65153438,-79.56320938,299685.571,4834400.211
1277290,4154327,2017,2020,1959,PRIVATE,5,York South-Weston,1724 LAWRENCE AVE W,3,30,2020-11-02,75,Evaluation needs to be conducted in 2 years,17,3,3,4,4,3,4,,4,3,,4,4,5,4,4,5,3,3,4,,W0528,43.70489946,-79.49734667,304998.33,4840326.957
1277291,4155075,2017,2020,1958,PRIVATE,9,Davenport,554 HARVIE AVE,4,15,2020-11-02,82,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,,4,,4,4,3,5,4,4,4,4,4,5,,S0921,43.69172994,-79.45653602,308287.926,4838865.668
1277292,4154634,2017,2020,1972,PRIVATE,6,York Centre,1875 STEELES AVE W,4,120,2020-11-02,75,Evaluation needs to be conducted in 2 years,20,4,4,5,4,4,4,3,3,4,3,4,4,5,4,3,3,3,4,3,4,N0622,43.78709387,-79.4677159,307382.726,4849459.76
1277293,4156565,2017,2020,1968,PRIVATE,5,York South-Weston,15 HARDING AVE,19,335,2020-11-02,77,Evaluation needs to be conducted in 2 years,19,5,3,5,4,4,3,3,4,4,,3,4,4,4,4,5,4,3,3,4,W0528,,,304655.788,4839682.129
1277294,4155386,2017,2020,1960,PRIVATE,2,Etobicoke Centre,25 EVA RD,5,48,2020-11-02,72,Evaluation needs to be conducted in 2 years,18,5,4,5,3,3,3,,4,3,3,3,3,5,3,4,4,2,5,3,,W0233,43.63893166,-79.5633561,299581.049,4833030.633
1277295,4154244,2017,2020,1959,PRIVATE,7,Humber River-Black Creek,2433 FINCH AVE W,6,117,2020-11-02,73,Evaluation needs to be conducted in 2 years,18,3,4,4,4,3,4,3,3,4,3,3,3,5,3,4,4,,5,4,,W0727,43.74943656,-79.54815993,300917.135,4845264.927
1277296,4155076,2017,2020,1960,PRIVATE,9,Davenport,526 HARVIE AVE,3,29,2020-11-02,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,4,,4,,,4,4,5,4,4,4,,4,4,,S0921,43.69079935,-79.45621635,308313.746,4838762.298
1277297,4155077,2017,2020,1960,PRIVATE,9,Davenport,524 HARVIE AVE,3,29,2020-11-02,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,4,,4,,,4,4,5,4,4,4,,4,4,,S0921,43.69068629,-79.45591485,308342.955,4838761.115
1277298,4155070,2017,2020,1960,PRIVATE,9,Davenport,502 GILBERT AVE,3,23,2020-11-02,84,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,4,,4,,,4,4,5,4,4,4,,4,5,,S0921,43.69199816,-79.46360002,307718.735,4838894.234
1277299,4155385,2017,2020,1960,PRIVATE,2,Etobicoke Centre,351 THE WEST MALL,5,49,2020-11-02,78,Evaluation needs to be conducted in 2 years,18,5,4,4,3,3,3,,5,5,3,3,3,5,4,5,5,3,4,3,,W0233,43.63872962,-79.56423258,299601.61,4832978.702
1277300,4155377,2017,2020,1965,PRIVATE,2,Etobicoke Centre,210 MARKLAND DR,13,151,2020-11-02,83,Evaluation needs to be conducted in 2 years,18,5,4,5,3,3,3,,5,5,4,4,4,5,4,5,5,4,3,4,,W0233,43.63019755,-79.57989064,298337.645,4832030.995
1277301,4155240,2017,2020,1954,PRIVATE,3,Etobicoke-Lakeshore,187 BERRY RD,4,30,2020-11-02,76,Evaluation needs to be conducted in 2 years,16,3,4,5,3,3,4,,4,,,3,3,4,4,4,4,5,4,4,,W0329,43.63612453,-79.49246033,305392.633,4832686.451
1277302,4155736,2017,2020,1967,PRIVATE,6,York Centre,6020 BATHURST ST,11,149,2020-11-02,81,Evaluation needs to be conducted in 2 years,19,5,4,5,3,4,4,4,4,4,,3,5,4,4,4,4,4,4,5,3,N0622,43.78708751,-79.44737422,309020.18,4849458.928
1277303,4155737,2017,2020,1967,PRIVATE,6,York Centre,6030 BATHURST ST,19,247,2020-11-02,79,Evaluation needs to be conducted in 2 years,19,5,5,5,3,5,3,2,4,3,,4,5,5,4,4,3,4,4,3,4,N0622,43.78782263,-79.44758922,309002.816,4849540.586
1277304,4156071,2017,2020,1970,PRIVATE,6,York Centre,6040 BATHURST ST,17,202,2020-11-02,79,Evaluation needs to be conducted in 2 years,19,4,4,5,4,4,4,4,4,5,4,4,4,5,3,4,4,2,4,3,,N0622,43.78904449,-79.44765194,309058.568,4849670.127
1277305,4155245,2017,2020,1965,PRIVATE,3,Etobicoke-Lakeshore,177 BERRY RD,4,23,2020-11-02,82,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,3,,5,,4,4,4,5,3,4,4,4,4,4,,W0329,43.63682198,-79.48921584,305654.469,4832763.96
1277306,4155244,2017,2020,1953,PRIVATE,3,Etobicoke-Lakeshore,179 BERRY RD,4,23,2020-11-02,80,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,3,,4,,4,4,5,5,4,4,4,4,4,2,,W0329,43.63664424,-79.48994455,305595.659,4832744.208
1277307,4154323,2017,2020,1965,PRIVATE,5,York South-Weston,101 BROOKHAVEN DR,3,19,2020-11-02,82,Evaluation needs to be conducted in 2 years,17,4,5,4,4,4,4,,4,,4,5,4,5,4,4,4,4,5,2,,W0528,43.70340488,-79.49483763,305200.553,4840160.923
1277308,4154330,2017,2020,1971,PRIVATE,5,York South-Weston,1747-1755 JANE ST,15,102,2020-11-02,80,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,4,4,4,5,,4,4,5,4,4,4,3,4,3,,W0528,43.70495742,-79.50363746,304459.004,4840344.142
1277309,4155470,2017,2020,1977,TCHC,3,Etobicoke-Lakeshore,100 CAVELL AVE,7,300,2020-11-02,82,Evaluation needs to be conducted in 2 years,19,4,4,5,4,5,4,4,4,5,,4,4,5,4,4,3,4,4,3,4,W0336,43.61548767,-79.49699592,305026.782,4830393.808
1277310,4154251,2018,2020,1993,SOCIAL HOUSING,7,Humber River-Black Creek,3001 FINCH AVE W,14,166,2020-11-02,76,Evaluation needs to be conducted in 2 years,19,4,4,4,4,3,4,4,3,4,,4,3,4,3,4,3,4,5,4,4,W0727,43.74707057,-79.56259793,299742.782,4845014.81
1277311,4155748,2017,2020,1966,PRIVATE,2,Etobicoke Centre,30 FONTENAY CRT,14,96,2020-11-02,94,Evaluation needs to be conducted in 3 years,18,5,4,5,5,4,5,,5,5,4,5,5,4,5,5,5,4,5,5,,W0230,43.68326119,-79.51245452,303780.01,4837924.146
1277312,4155071,2017,2020,1960,PRIVATE,9,Davenport,500 GILBERT AVE,3,29,2020-11-02,84,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,4,4,,4,4,4,5,4,4,4,,4,5,,S0921,43.69181233,-79.46356622,307721.469,4838873.59
1277313,4153969,2017,2020,1967,PRIVATE,8,Eglinton-Lawrence,140 ELM RIDGE DR,18,229,2020-11-01,77,Evaluation needs to be conducted in 2 years,20,4,4,5,4,4,4,4,4,4,3,4,4,5,4,3,4,3,4,3,3,N0832,43.70328862,-79.43874386,309721.568,4840149.728
1277314,4153983,2018,2020,1953,PRIVATE,8,Eglinton-Lawrence,2601 BATHURST ST,6,62,2020-11-01,78,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,4,,4,4,,4,4,5,4,3,4,3,3,4,,N0833,43.70744401,-79.4262923,310724.736,4840612.236
1277315,4153979,2017,2020,1953,PRIVATE,8,Eglinton-Lawrence,675 ROSELAWN AVE,6,52,2020-11-01,68,Evaluation needs to be conducted in 2 years,19,4,4,4,3,4,3,4,3,3,3,3,4,4,3,3,4,3,3,3,,N0833,43.70502433,-79.42582773,310762.152,4840344.42
1277316,4168552,2017,2020,1968,PRIVATE,5,York South-Weston,2625 KEELE ST,3,10,2020-11-01,75,Evaluation needs to be conducted in 2 years,16,4,3,5,4,3,4,,3,,,4,4,5,3,4,4,3,3,4,,W0523,43.72062438,-79.48020073,306379.805,4842074.038
1277317,4155433,2017,2020,1959,PRIVATE,1,Etobicoke North,20 TORBOLTON DR,3,17,2020-11-01,68,Evaluation needs to be conducted in 2 years,16,3,3,4,3,3,3,,4,,,4,3,4,3,4,3,3,3,4,,W0130,43.71911106,-79.55890129,300038.47,4841907.547
1277318,4156293,2017,2020,1967,PRIVATE,8,Eglinton-Lawrence,111 RIDELLE AVE,18,139,2020-11-01,80,Evaluation needs to be conducted in 2 years,20,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,N0832,43.70430888,-79.43912496,309690.767,4840263.024
1277319,4155907,2017,2020,1960,PRIVATE,8,Eglinton-Lawrence,99 MARLEE AVE,6,59,2020-11-01,83,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,5,,4,5,3,5,4,5,4,4,4,3,4,4,,N0832,43.70099463,-79.440281,309597.858,4839894.798
1277320,4154313,2017,2020,1950,PRIVATE,5,York South-Weston,2605 KEELE ST,3,12,2020-11-01,86,Evaluation needs to be conducted in 3 years,16,4,4,5,4,4,4,,4,,,4,4,5,5,4,4,5,5,4,,W0523,43.71917239,-79.47996168,306399.103,4841912.738
1277321,4153434,2017,2020,1978,TCHC,13,Toronto Centre,200 SHERBOURNE ST,7,174,2020-11-01,67,Evaluation needs to be conducted in 2 years,18,3,3,4,3,3,3,3,4,3,,3,4,4,3,4,3,4,3,3,,S1332,43.65711866,-79.37092273,315195.671,4835026.678
1277322,4153958,2017,2020,1962,PRIVATE,8,Eglinton-Lawrence,15 SHALLMAR BLVD,7,78,2020-11-01,83,Evaluation needs to be conducted in 2 years,19,4,4,5,4,4,4,4,4,5,5,4,4,5,4,4,3,4,4,4,,N0832,43.70394644,-79.42447536,310871.253,4840224.76
1277323,4153663,2017,2020,1928,TCHC,19,Beaches-East York,42 HUBBARD BLVD,3,27,2020-10-31,84,Evaluation needs to be conducted in 2 years,16,5,4,4,4,4,4,,4,4,,4,5,5,4,4,4,4,4,,,S1942,43.66853304,-79.29290251,321485.456,4836307.452
1277324,4154176,2017,2020,1960,PRIVATE,16,Don Valley East,701 DON MILLS RD,25,333,2020-10-30,79,Evaluation needs to be conducted in 2 years,19,5,4,5,3,4,4,3,4,4,,4,4,5,4,4,3,3,4,4,4,N1630,43.70831329,-79.33284545,318255.235,4840720.639
1277325,4152982,2018,2020,1956,PRIVATE,4,Parkdale-High Park,95 JAMESON AVE,9,66,2020-10-30,70,Evaluation needs to be conducted in 2 years,18,3,3,5,3,3,4,,4,3,3,2,4,5,4,4,3,4,4,2,,S0437,43.63540331,-79.43490624,310036.705,4832608.24
1277326,4232788,2017,2020,2015,PRIVATE,17,Don Valley North,106 PARKWAY FOREST DR,7,95,2020-10-30,98,Evaluation needs to be conducted in 3 years,18,5,5,5,5,,5,5,5,5,,5,4,5,5,5,5,4,5,5,5,N1730,43.77409487,-79.34179394,317512.069,4848026.048
1277327,4152676,2017,2020,1961,PRIVATE,20,Scarborough Southwest,829 BIRCHMOUNT RD,6,65,2020-10-30,74,Evaluation needs to be conducted in 2 years,17,4,4,4,3,4,4,,3,4,,3,3,5,3,4,4,4,4,3,,E2023,43.72901062,-79.27693097,322755.413,4843029.54
1277328,4153355,2017,2020,1956,PRIVATE,12,Toronto-St. Paul's,291 AVENUE RD,8,96,2020-10-30,86,Evaluation needs to be conducted in 3 years,18,5,4,5,4,5,4,5,3,3,4,4,4,5,4,5,5,4,4,,,S1238,43.67935503,-79.39811005,312999.492,4837494.932
1277329,4152916,2017,2020,1935,PRIVATE,4,Parkdale-High Park,2526 BLOOR ST W,4,19,2020-10-30,68,Evaluation needs to be conducted in 2 years,17,4,3,4,4,2,3,,4,,3,4,3,3,3,4,4,3,4,3,,S0430,43.64801659,-79.48963831,305608.671,4834006.596
1277330,4152903,2017,2020,1940,PRIVATE,4,Parkdale-High Park,2555 BLOOR ST W,4,34,2020-10-30,75,Evaluation needs to be conducted in 2 years,17,4,3,5,4,4,4,,4,,4,4,3,5,3,4,4,4,3,2,,S0430,43.64764025,-79.49069148,305535.289,4833965.806
1277331,4154719,2017,2020,1982,SOCIAL HOUSING,18,Willowdale,6091 BATHURST ST,6,90,2020-10-30,79,Evaluation needs to be conducted in 2 years,18,4,4,5,4,5,4,4,3,5,,3,4,5,3,3,4,3,4,4,,N1821,43.78716075,-79.44563807,309159.906,4849467.158
1277332,4152675,2017,2020,1960,PRIVATE,20,Scarborough Southwest,821 BIRCHMOUNT RD,6,53,2020-10-30,74,Evaluation needs to be conducted in 2 years,17,4,4,4,3,4,4,,3,3,,4,3,4,4,4,4,4,4,3,,E2023,43.72873023,-79.27698235,322751.357,4842998.379
1277333,4154277,2017,2020,1965,PRIVATE,7,Humber River-Black Creek,50 PEARLDALE AVE,7,96,2020-10-30,72,Evaluation needs to be conducted in 2 years,19,4,4,4,4,3,4,3,3,3,3,3,4,5,4,3,3,4,4,3,,W0722,43.74918598,-79.56385145,299642.013,4845249.898
1277334,4153057,2017,2020,1960,PRIVATE,4,Parkdale-High Park,1639 BLOOR ST W,6,46,2020-10-30,77,Evaluation needs to be conducted in 2 years,18,4,3,5,4,4,3,3,5,4,3,4,4,5,3,4,4,,4,3,,S0432,43.65540277,-79.45562658,308363.408,4834829.986
1277335,4156367,2017,2020,1954,PRIVATE,5,York South-Weston,4 GREENBROOK DR,3,23,2020-10-29,75,Evaluation needs to be conducted in 2 years,15,3,4,5,4,3,3,,3,,,4,3,5,4,4,3,,4,4,,W0532,43.69726946,-79.47635434,306690.437,4839479.496
1277336,4155105,,2020,1954,PRIVATE,5,York South-Weston,"5 GREENBROOK DR

",3,12,2020-10-29,84,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,4,,4,,,4,5,5,4,4,4,4,4,4,,W0532,43.69649282,-79.47643007,306684.353,4839393.215
1277337,4155658,2017,2020,1972,TCHC,1,Etobicoke North,44 WILLOWRIDGE RD,14,236,2020-10-29,53,Evaluation needs to be conducted in 1 year,18,2,4,2,2,3,3,4,2,3,,2,3,3,3,3,2,2,3,2,,W0137,43.67564631,-79.56974963,299172.333,4837117.833
1277338,4154456,2017,2020,1965,PRIVATE,6,York Centre,3390 KEELE ST,11,258,2020-10-29,76,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,4,3,5,4,,3,5,5,4,3,3,3,3,3,,N0625,43.74694076,-79.4884688,305713.023,4844998.472
1277339,4153336,2017,2020,1983,TCHC,12,Toronto-St. Paul's,2 LAMBERTLODGE AVE,5,64,2020-10-29,78,Evaluation needs to be conducted in 2 years,19,4,4,3,4,3,4,4,3,4,5,4,5,3,4,5,4,4,4,3,,S1234,43.67391754,-79.42265783,311020.734,4836888.76
1277340,4156494,2017,2020,1974,PRIVATE,7,Humber River-Black Creek,4750 JANE ST,15,131,2020-10-29,85,Evaluation needs to be conducted in 2 years,19,4,5,4,4,4,4,5,4,4,,4,3,4,4,5,5,4,5,5,4,W0724,43.77056029,-79.52140566,303087.391,4847612.653
1277341,4156034,2017,2020,1994,TCHC,13,Toronto Centre,261 JARVIS ST,7,55,2020-10-29,76,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,4,3,4,4,,3,3,5,4,4,4,4,4,3,,S1328,43.657929,-79.37459565,314899.288,4835116.244
1277342,4154226,2017,2020,1967,PRIVATE,7,Humber River-Black Creek,2020 SHEPPARD AVE W,15,204,2020-10-29,91,Evaluation needs to be conducted in 3 years,18,5,5,5,5,4,5,4,4,5,,5,4,5,4,4,4,5,5,4,,W0729,43.73920215,-79.51814342,303323.153,4844137.908
1277343,4153107,2017,2020,1978,TCHC,9,Davenport,1884 DAVENPORT RD,9,186,2020-10-29,77,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,4,4,4,,3,4,5,3,4,4,3,4,3,4,S0926,43.6707641,-79.45386741,308498.716,4836548.304
1277344,4155259,2017,2020,1960,PRIVATE,3,Etobicoke-Lakeshore,3 CROWN HILL PL,6,62,2020-10-29,86,Evaluation needs to be conducted in 3 years,18,4,4,5,4,5,4,,4,4,4,4,5,4,4,4,4,5,5,4,,W0327,43.63803253,-79.49122759,305492.116,4832898.429
1277345,4155828,2018,2020,1944,PRIVATE,4,Parkdale-High Park,2561 BLOOR ST W,4,34,2020-10-29,79,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,,5,,4,4,4,5,3,3,4,4,4,3,,S0425,43.64762573,-79.49133641,305480.451,4833992.441
1277346,4155295,2017,2020,1927,PRIVATE,3,Etobicoke-Lakeshore,2651 BLOOR ST W,4,34,2020-10-29,73,Evaluation needs to be conducted in 2 years,17,3,4,4,3,3,4,,4,,3,4,5,4,4,3,4,4,4,2,,W0327,43.64923027,-79.49533657,305160.274,4834143.367
1277347,4155294,2017,2020,1940,PRIVATE,3,Etobicoke-Lakeshore,2655 BLOOR ST W,5,45,2020-10-29,80,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,4,,4,,4,5,4,5,4,3,4,2,4,3,,W0327,43.64946144,-79.49568394,305101.599,4834184.139
1277348,4154646,2017,2020,1968,PRIVATE,6,York Centre,4918 BATHURST ST,6,60,2020-10-29,78,Evaluation needs to be conducted in 2 years,19,5,4,5,3,3,4,4,3,4,3,4,3,5,4,4,4,4,3,5,,N0624,43.77288649,-79.44326614,309351.886,4847881.463
1277349,4155674,2017,2020,1971,PRIVATE,17,Don Valley North,4003 BAYVIEW AVE,12,172,2020-10-29,93,Evaluation needs to be conducted in 3 years,20,4,5,5,4,5,5,5,4,4,5,5,4,5,4,5,5,5,4,5,5,N1721,43.802225,-79.39285621,313191.076,4851131.715
1277350,4153972,2017,2020,1967,PRIVATE,8,Eglinton-Lawrence,655 BRIAR HILL AVE,4,36,2020-10-29,83,Evaluation needs to be conducted in 2 years,18,4,4,4,4,5,4,,4,5,4,4,4,5,4,4,4,4,4,4,,N0832,43.70757708,-79.4274046,310635.081,4840626.937
1277351,4153003,2017,2020,1922,PRIVATE,4,Parkdale-High Park,1623 QUEEN ST W,4,42,2020-10-29,63,Evaluation needs to be conducted in 1 year,16,4,3,5,4,3,3,,3,,3,3,3,3,2,3,3,2,3,,,S0436,43.63878144,-79.44521453,309204.71,4832982.945
1277352,4250529,2017,2020,1965,PRIVATE,5,York South-Weston,2255 WESTON RD,12,101,2020-10-29,71,Evaluation needs to be conducted in 2 years,18,4,3,5,3,3,4,3,4,3,,3,5,3,3,3,3,5,3,4,,W0524,43.70457065,-79.5274315,302573.625,4840290.883
1277353,4155167,2017,2020,1962,PRIVATE,5,York South-Weston,2260 WESTON RD,9,116,2020-10-29,77,Evaluation needs to be conducted in 2 years,19,3,4,5,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,,W0524,43.70433412,-79.52866808,302473.953,4840264.645
1277354,4155155,2017,2020,1960,PRIVATE,5,York South-Weston,2275 WESTON RD,3,61,2020-10-29,79,Evaluation needs to be conducted in 2 years,15,3,4,5,4,4,3,,3,,,4,4,5,4,4,4,,4,4,,W0524,43.70509252,-79.52824876,302507.78,4840348.881
1277355,4155102,2017,2020,1950,PRIVATE,5,York South-Weston,100 TRETHEWEY DR,3,11,2020-10-29,76,Evaluation needs to be conducted in 2 years,15,3,4,5,4,3,4,,4,,,4,5,4,3,4,3,,4,3,,W0532,43.69325146,-79.48275368,306174.69,4839033.016
1277356,4155110,2017,2020,1957,PRIVATE,5,York South-Weston,102 TRETHEWEY DR,4,30,2020-10-29,74,Evaluation needs to be conducted in 2 years,17,3,3,5,4,3,3,,3,,3,4,5,5,3,4,4,3,4,4,,W0532,43.6931177,-79.48347597,306116.469,4839018.146
1277357,4153013,2017,2020,1973,PRIVATE,4,Parkdale-High Park,146 DOWLING AVE,7,68,2020-10-29,63,Evaluation needs to be conducted in 1 year,18,4,3,5,3,3,3,,4,3,2,4,4,3,3,2,3,3,3,2,,S0436,43.63754731,-79.4394029,309673.714,4832846.159
1277358,4154751,2017,2020,1992,SOCIAL HOUSING,18,Willowdale,422 WILLOWDALE AVE,4,16,2020-10-29,84,Evaluation needs to be conducted in 2 years,19,5,5,5,5,5,5,5,4,4,3,4,3,5,4,4,3,,3,4,4,N1825,43.7782173,-79.40593491,312356.512,4848476.407
1277359,4156014,2018,2020,1950,PRIVATE,5,York South-Weston,1 GREENBROOK DR,3,23,2020-10-29,79,Evaluation needs to be conducted in 2 years,15,4,4,5,3,4,3,,4,,,4,3,5,4,4,4,,4,4,,W0532,43.69692615,-79.47571164,306735.523,4839446.054
1277360,4154464,2017,2020,1962,PRIVATE,7,Humber River-Black Creek,3700 KEELE ST,3,57,2020-10-28,73,Evaluation needs to be conducted in 2 years,18,3,4,3,4,4,4,,3,3,4,3,4,5,3,4,4,3,5,3,,W0731,43.75524101,-79.48937888,305639.91,4845919.621
1277361,4155161,2017,2020,1970,PRIVATE,5,York South-Weston,1906-1930 WESTON RD,12,112,2020-10-28,78,Evaluation needs to be conducted in 2 years,19,4,3,5,5,3,5,4,3,4,4,4,5,4,3,4,3,3,4,4,,W0524,43.70020031,-79.51726736,303392.674,4839805.124
1277362,4152984,2017,2020,1955,PRIVATE,4,Parkdale-High Park,125 JAMESON AVE,7,67,2020-10-28,68,Evaluation needs to be conducted in 2 years,18,4,3,4,3,3,3,,4,3,3,3,3,5,3,4,3,4,4,2,,S0437,43.63616414,-79.4351614,310016.053,4832692.746
